Linkage.Name;Number_Of_Tokens;Metric.Architecture_Violations;Metric.Clone;Metric.Dead_Code;Metric.Cycle;Metric.Metric;Metric.Style;Metric.Universal
net/6lowpan/core.c;726;0.0065035659238954;0.00602408076719519;0.00495089615642657;0.00702285908008347;0.00552129978998578;0.00425898098000882;0.00675179776944262
net/6lowpan/debugfs.c;1630;0.0163329419168499;0.0154299305741226;0.0134088088296379;0.0173109234115548;0.014483046360955;0.0121057293833203;0.0168004353710746
net/6lowpan/iphc.c;5931;0.0627138578718676;0.0596815192319406;0.052894532987352;0.0659979484864666;0.0565018542030904;0.0485187538924523;0.0642837146367639
net/6lowpan/ndisc.c;950;0.00922094576451326;0.00872022946350729;0.00759952526423928;0.00976323272516421;0.00819518582533296;0.00687697274534576;0.0094801690788483
net/6lowpan/nhc.c;940;0.00921573019864269;0.00875045215541619;0.00770906593367038;0.00971963673296561;0.00826256854530109;0.00703765215815773;0.00945660695102758
net/6lowpan/nhc_dest.c;74;0;0;0;0;0;0;0
net/6lowpan/nhc_fragment.c;74;0.000102383904138418;0.000132800669097245;0.000200879531616815;6.94418669225017e-05;0.000164695234749268;0.000244772071351281;8.663699394569e-05
net/6lowpan/nhc_ghc_ext_dest.c;74;0.000204767808276852;0.000265601338194491;0.000401759063233673;0.000138883733845011;0.000329390469498555;0.000489544142702587;0.000173273987891388
net/6lowpan/nhc_ghc_ext_frag.c;74;0.000307151712415278;0.000398402007291753;0.00060263859485051;0.00020832560076752;0.000494085704247842;0.000734316214053892;0.000259910981837093
net/6lowpan/nhc_ghc_ext_hop.c;74;0.000409535616553705;0.000531202676388998;0.000803518126467368;0.000277767467690022;0.000658780938997129;0.000979088285405198;0.000346547975782791
net/6lowpan/nhc_ghc_ext_route.c;74;0.000511919520692131;0.000664003345486261;0.0010043976580842;0.000347209334612531;0.000823476173746398;0.00122386035675648;0.000433184969728488
net/6lowpan/nhc_ghc_icmpv6.c;74;0.000614303424830557;0.000796804014583506;0.00120527718970106;0.00041665120153504;0.000988171408495685;0.00146863242810778;0.000519821963674186
net/6lowpan/nhc_ghc_udp.c;74;0.000716687328968991;0.000929604683680769;0.0014061567213179;0.000486093068457549;0.00115286664324497;0.00171340449945909;0.000606458957619883
net/6lowpan/nhc_hop.c;74;0.000819071233107409;0.00106240535277801;0.00160703625293474;0.000555534935380051;0.00131756187799424;0.00195817657081037;0.000693095951565573
net/6lowpan/nhc_ipv6.c;74;0.000921455137245835;0.00119520602187526;0.00180791578455159;0.00062497680230256;0.00148225711274353;0.00220294864216165;0.000779732945511271
net/6lowpan/nhc_mobility.c;74;0.00102383904138426;0.00132800669097252;0.00200879531616843;0.000694418669225069;0.00164695234749281;0.00244772071351296;0.000866369939456969
net/6lowpan/nhc_routing.c;74;0.00112622294552269;0.00146080736006977;0.00220967484778527;0.000763860536147578;0.00181164758224208;0.00269249278486426;0.000953006933402666
net/6lowpan/nhc_udp.c;942;0.010568240846444;0.0104973764491181;0.0103387676171265;0.0106449885747824;0.010423069099998;0.0102365076174324;0.0106049276966749
net/802/fc.c;364;0.00445137538406112;0.00470117003672723;0.00526026091440616;0.00418084218450479;0.00496310098039494;0.00562072402520845;0.00432205545252068
net/802/fddi.c;571;0.00678106831738625;0.00695733483362386;0.00735185489326833;0.00659016773523426;0.00714216527111467;0.00760621412832459;0.00668981426703157
net/802/garp.c;3712;0.0406804457513578;0.0393098781375903;0.0362422710374339;0.0421648011520974;0.0378727213986332;0.0342644902468905;0.0413899954078145
net/802/hippi.c;612;0.00742699395270007;0.00764350587829072;0.00812810329146365;0.00719250669147583;0.00787053705121608;0.00844053817103859;0.00731490465416535
net/802/mrp.c;4713;0.0516559205075375;0.0498435349923413;0.0457870502054627;0.0536187745839656;0.0479430945977281;0.0431717095093835;0.0525942014845261
net/802/p8022.c;215;0.00336006280161885;0.00383676152210665;0.00490370952592247;0.00284378741821277;0.00433662068390174;0.00559160376972836;0.00311327350792928
net/802/p8023.c;145;0.00270925041569415;0.00325151635088527;0.00446521702223896;0.00212196427128751;0.00382012831518274;0.00524772723130413;0.00242851664950993
net/802/psnap.c;558;0.00725549243120507;0.00762078747786249;0.00843839156212788;0.00685986971991186;0.00800383041039483;0.0089655261003312;0.00706637737240939
net/802/stp.c;435;0.00603440285423257;0.00649187902754271;0.00751580308885983;0.00553894591964472;0.00697158171333558;0.00817595847164832;0.00579756516862794
net/8021q/vlan.c;3370;0.0377172312060183;0.0367313160014286;0.0345246386719987;0.038784999438613;0.0356975000363618;0.0331019258243033;0.0382276444010223
net/8021q/vlan_core.c;1873;0.0217119744498064;0.0215081934854258;0.0210520905344065;0.0219326737951053;0.0212945118083681;0.0207580269123116;0.0218174728665327
net/8021q/vlan_dev.c;3933;0.043979849175803;0.0427720574553287;0.0400687756762909;0.0452879146409765;0.0415055850880409;0.0383258866427721;0.044605128944364
net/8021q/vlan_gvrp.c;250;0.0044533482756194;0.00512538912594675;0.00662955226489056;0.00372551299359421;0.00583008112888084;0.00759933257407526;0.00410542939173168
net/8021q/vlan_mvrp.c;265;0.00471713138477136;0.00541205676082656;0.00696744008978607;0.00396451164919839;0.00614074513580189;0.00797024363323559;0.00435736506832704
